,N,M,Method,Error,Computation Time
292,32,8,Arnoldi,6.872307986494493e-16,0.0019945859909057616
293,32,9,Lanzcos,6.39019011030739e-16,0.005784511566162109
294,32,10,Scipy,0.0,0.0009968280792236328
295,32,20,Arnoldi,6.872307986494493e-16,0.003390932083129883
296,32,30,Lanzcos,8.054498753906667e-16,0.0035929441452026366
297,32,40,Scipy,,
298,32,50,Arnoldi,,
299,32,60,Lanzcos,,
300,32,70,Scipy,,
301,32,80,Arnoldi,,
302,32,90,Lanzcos,,
303,32,100,Scipy,,
304,32,1,Arnoldi,0.004039010657635843,0.0007008790969848632
305,32,2,Lanzcos,1.4368498153238458e-06,0.0013953208923339843
306,32,3,Scipy,0.0,0.0009968280792236328
307,32,4,Arnoldi,1.6127805668287216e-12,0.0012964963912963866
308,32,5,Lanzcos,6.39019011030739e-16,0.0016954183578491212
309,32,6,Scipy,0.0,0.0009968280792236328
310,32,7,Arnoldi,6.872307986494493e-16,0.0015956401824951173
311,32,8,Lanzcos,8.054498753906667e-16,0.0017952203750610351
312,32,9,Scipy,0.0,0.0009968280792236328
313,32,10,Arnoldi,6.872307986494493e-16,0.0024931669235229493
314,32,20,Lanzcos,6.39019011030739e-16,0.0027924299240112303
315,32,30,Scipy,0.0,0.0009968280792236328
316,32,40,Arnoldi,,
317,32,50,Lanzcos,,
318,32,60,Scipy,,
319,32,70,Arnoldi,,
320,32,80,Lanzcos,,
321,32,90,Scipy,,
322,32,100,Arnoldi,,
323,32,1,Lanzcos,0.003596894808873264,0.0009003639221191406
324,32,2,Scipy,0.0,0.0009968280792236328
325,32,3,Arnoldi,3.6432249836307025e-09,0.0017952442169189454
326,32,4,Lanzcos,1.0488775700419516e-13,0.0024932861328125
327,32,5,Scipy,0.0,0.0009968280792236328
328,32,6,Arnoldi,6.872307986494493e-16,0.0026927471160888674
329,32,7,Lanzcos,6.485917422406657e-16,0.0025930881500244142
330,32,8,Scipy,0.0,0.0009968280792236328
331,32,9,Arnoldi,6.872307986494493e-16,0.0016955852508544922
332,32,10,Lanzcos,6.39019011030739e-16,0.001994633674621582
333,32,20,Scipy,0.0,0.0009968280792236328
334,32,30,Arnoldi,6.872307986494493e-16,0.005684757232666015
335,32,40,Lanzcos,,
336,32,50,Scipy,,
337,32,60,Arnoldi,,
338,32,70,Lanzcos,,
339,32,80,Scipy,,
340,32,90,Arnoldi,,
341,32,100,Lanzcos,,
342,64,1,Scipy,0.0,0.0009975433349609375
343,64,2,Arnoldi,5.376045640503065e-07,0.0009973764419555664
344,64,3,Lanzcos,8.919786668788635e-12,0.0014959096908569336
345,64,4,Scipy,0.0,0.0009975433349609375
346,64,5,Arnoldi,6.863544743039983e-16,0.001595783233642578
347,64,6,Lanzcos,8.551746886645107e-16,0.0015957355499267578
348,64,7,Scipy,0.0,0.0009975433349609375
349,64,8,Arnoldi,6.863544743039983e-16,0.001595759391784668
350,64,9,Lanzcos,6.233428962297756e-16,0.0020943403244018553
351,64,10,Scipy,0.0,0.0009975433349609375
352,64,20,Arnoldi,6.863544743039983e-16,0.003590512275695801
353,64,30,Lanzcos,6.233428962297756e-16,0.0033932924270629883
354,64,40,Scipy,0.0,0.0009975433349609375
355,64,50,Arnoldi,6.863544743039983e-16,0.011768603324890136
356,64,60,Lanzcos,6.233428962297756e-16,0.0053856134414672855
357,64,70,Scipy,,
358,64,80,Arnoldi,,
359,64,90,Lanzcos,,
360,64,100,Scipy,,
361,64,1,Arnoldi,0.001434214797225792,0.0007006406784057617
362,64,2,Lanzcos,1.2064596095887898e-07,0.001593017578125
363,64,3,Scipy,0.0,0.0009975433349609375
364,64,4,Arnoldi,9.516168699972214e-15,0.0013985395431518554
365,64,5,Lanzcos,6.233428962297756e-16,0.0015004634857177734
366,64,6,Scipy,0.0,0.0009975433349609375
367,64,7,Arnoldi,6.863544743039983e-16,0.0020943641662597655
368,64,8,Lanzcos,6.233428962297756e-16,0.002094459533691406
369,64,9,Scipy,0.0,0.0009975433349609375
370,64,10,Arnoldi,6.863544743039983e-16,0.001992321014404297
371,64,20,Lanzcos,8.551746886645107e-16,0.003989386558532715
372,64,30,Scipy,0.0,0.0009975433349609375
373,64,40,Arnoldi,6.863544743039983e-16,0.009275031089782716
374,64,50,Lanzcos,6.233428962297756e-16,0.004886937141418457
375,64,60,Scipy,0.0,0.0009975433349609375
376,64,70,Arnoldi,,
377,64,80,Lanzcos,,
378,64,90,Scipy,,
379,64,100,Arnoldi,,
380,64,1,Lanzcos,0.0012916028295064956,0.0009973287582397462
381,64,2,Scipy,0.0,0.0009975433349609375
382,64,3,Arnoldi,7.735688326105852e-11,0.001396346092224121
383,64,4,Lanzcos,8.890995139317877e-16,0.0016930818557739258
384,64,5,Scipy,0.0,0.0009975433349609375
385,64,6,Arnoldi,6.863544743039983e-16,0.0016954660415649414
386,64,7,Lanzcos,8.551746886645107e-16,0.0018925428390502929
387,64,8,Scipy,0.0,0.0009975433349609375
388,64,9,Arnoldi,6.863544743039983e-16,0.0019945859909057616
389,64,10,Lanzcos,8.551746886645107e-16,0.0025959253311157227
