,N,M,Method,Error,Computation Time
1015,131072,9,Arnoldi,2.1168783425241136e-14,0.1180889368057251
1016,131072,10,Lanzcos,2.3599134493135386e-14,0.11290349960327148
1017,131072,20,Scipy,0.0,0.034906864166259766
1018,131072,30,Arnoldi,2.1168783425241136e-14,1.1025686740875245
1019,131072,40,Lanzcos,2.3599134493135386e-14,0.6223673105239869
1020,131072,50,Scipy,0.0,0.034906864166259766
1021,131072,60,Arnoldi,2.1168783425241136e-14,4.560115170478821
1022,131072,70,Lanzcos,2.3599134493135386e-14,1.1562662601470948
1023,131072,80,Scipy,0.0,0.034906864166259766
1024,131072,90,Arnoldi,2.1168783425241136e-14,10.251200175285339
1025,131072,100,Lanzcos,2.3599134493135386e-14,1.7134305238723755
1026,262144,1,Scipy,0.0,0.051860809326171875
1027,262144,2,Arnoldi,2.8601885708793935e-14,0.03162388801574707
1028,262144,3,Lanzcos,3.1297227651196616e-14,0.04827127456665039
1029,262144,4,Scipy,0.0,0.051860809326171875
1030,262144,5,Arnoldi,2.8601885708793935e-14,0.0924497127532959
1031,262144,6,Lanzcos,3.415344064576048e-14,0.11081726551055908
1032,262144,7,Scipy,0.0,0.051860809326171875
1033,262144,8,Arnoldi,2.8601885708793935e-14,0.19189879894256592
1034,262144,9,Lanzcos,3.415344064576048e-14,0.18970324993133544
1035,262144,10,Scipy,0.0,0.051860809326171875
1036,262144,20,Arnoldi,2.8601885708793935e-14,1.0512021780014038
1037,262144,30,Lanzcos,3.415344064576048e-14,0.8976147413253784
1038,262144,40,Scipy,0.0,0.051860809326171875
1039,262144,50,Arnoldi,2.8601885708793935e-14,6.458448266983032
1040,262144,60,Lanzcos,3.415344064576048e-14,1.9709438323974608
1041,262144,70,Scipy,0.0,0.051860809326171875
1042,262144,80,Arnoldi,2.8601885708793935e-14,16.990146851539613
1043,262144,90,Lanzcos,3.415344064576048e-14,3.1165802478790283
1044,262144,100,Scipy,0.0,0.051860809326171875
1045,262144,1,Arnoldi,5.269506733895036e-09,0.017151832580566406
1046,262144,2,Lanzcos,8.338289161218345e-14,0.029326558113098145
1047,262144,3,Scipy,0.0,0.051860809326171875
1048,262144,4,Arnoldi,2.8601885708793935e-14,0.06802058219909668
1049,262144,5,Lanzcos,3.415344064576048e-14,0.08737897872924805
1050,262144,6,Scipy,0.0,0.051860809326171875
1051,262144,7,Arnoldi,2.8601885708793935e-14,0.15190436840057372
1052,262144,8,Lanzcos,3.415344064576048e-14,0.15978655815124512
1053,262144,9,Scipy,0.0,0.051860809326171875
1054,262144,10,Arnoldi,2.8601885708793935e-14,0.2910283327102661
1055,262144,20,Lanzcos,3.415344064576048e-14,0.5373542308807373
1056,262144,30,Scipy,0.0,0.051860809326171875
1057,262144,40,Arnoldi,2.8601885708793935e-14,4.153504347801208
1058,262144,50,Lanzcos,3.415344064576048e-14,1.5939506530761718
1059,262144,60,Scipy,0.0,0.051860809326171875
1060,262144,70,Arnoldi,2.8601885708793935e-14,12.87151095867157
1061,262144,80,Lanzcos,3.415344064576048e-14,2.7278298854827883
1062,262144,90,Scipy,0.0,0.051860809326171875
1063,262144,100,Arnoldi,2.8601885708793935e-14,26.685122084617614
1064,262144,1,Lanzcos,4.8101868104420705e-09,0.01715242862701416
1065,262144,2,Scipy,0.0,0.051860809326171875
1066,262144,3,Arnoldi,2.8601885708793935e-14,0.049767136573791504
1067,262144,4,Lanzcos,3.415344064576048e-14,0.06373608112335205
1068,262144,5,Scipy,0.0,0.051860809326171875
1069,262144,6,Arnoldi,2.8601885708793935e-14,0.1201784610748291
1070,262144,7,Lanzcos,3.415344064576048e-14,0.13993582725524903
1071,262144,8,Scipy,0.0,0.051860809326171875
1072,262144,9,Arnoldi,2.8601885708793935e-14,0.24324507713317872
1073,262144,10,Lanzcos,3.415344064576048e-14,0.22559874057769774
1074,262144,20,Scipy,0.0,0.051860809326171875
1075,262144,30,Arnoldi,2.8601885708793935e-14,2.28151957988739
1076,262144,40,Lanzcos,3.415344064576048e-14,1.2745004653930665
1077,262144,50,Scipy,0.0,0.051860809326171875
1078,262144,60,Arnoldi,2.8601885708793935e-14,9.175798988342285
1079,262144,70,Lanzcos,3.415344064576048e-14,2.2779282093048097
1080,262144,80,Scipy,0.0,0.051860809326171875
1081,262144,90,Arnoldi,2.8601885708793935e-14,20.707010507583618
1082,262144,100,Lanzcos,3.415344064576048e-14,3.4078216791152953
1083,524288,1,Scipy,0.0,0.10175633430480957
1084,524288,2,Arnoldi,4.2348014697925635e-14,0.058558297157287595
1085,524288,3,Lanzcos,6.652407547657046e-14,0.08927128314971924
1086,524288,4,Scipy,0.0,0.10175633430480957
1087,524288,5,Arnoldi,4.2348014697925635e-14,0.1734462261199951
1088,524288,6,Lanzcos,6.95720305635202e-14,0.2161238670349121
1089,524288,7,Scipy,0.0,0.10175633430480957
1090,524288,8,Arnoldi,4.2348014697925635e-14,0.3625375986099243
1091,524288,9,Lanzcos,6.95720305635202e-14,0.3620320796966553
1092,524288,10,Scipy,0.0,0.10175633430480957
1093,524288,20,Arnoldi,4.2348014697925635e-14,1.9764336585998534
1094,524288,30,Lanzcos,6.293065113067534e-14,1.7207019329071045
1095,524288,40,Scipy,0.0,0.10175633430480957
1096,524288,50,Arnoldi,4.2348014697925635e-14,12.299771499633788
1097,524288,60,Lanzcos,6.95720305635202e-14,3.770123600959778
1098,524288,70,Scipy,0.0,0.10175633430480957
1099,524288,80,Arnoldi,4.2348014697925635e-14,32.66892626285553
1100,524288,90,Lanzcos,6.95720305635202e-14,5.942714142799377
1101,524288,100,Scipy,0.0,0.10175633430480957
1102,524288,1,Arnoldi,1.8620862193253691e-09,0.030320143699645995
1103,524288,2,Lanzcos,6.652407547657046e-14,0.05635240077972412
1104,524288,3,Scipy,0.0,0.10175633430480957
1105,524288,4,Arnoldi,4.2348014697925635e-14,0.12706341743469238
1106,524288,5,Lanzcos,6.95720305635202e-14,0.1642585039138794
1107,524288,6,Scipy,0.0,0.10175633430480957
1108,524288,7,Arnoldi,4.2348014697925635e-14,0.29072797298431396
1109,524288,8,Lanzcos,6.95720305635202e-14,0.31256253719329835
1110,524288,9,Scipy,0.0,0.10175633430480957
1111,524288,10,Arnoldi,4.2348014697925635e-14,0.5632028341293335
1112,524288,20,Lanzcos,6.95720305635202e-14,1.020274829864502
1113,524288,30,Scipy,0.0,0.10175633430480957
1114,524288,40,Arnoldi,4.2348014697925635e-14,7.87296998500824
1115,524288,50,Lanzcos,6.293065113067534e-14,3.0474626064300536
1116,524288,60,Scipy,0.0,0.10175633430480957
1117,524288,70,Arnoldi,4.2348014697925635e-14,24.75616497993469
1118,524288,80,Lanzcos,6.293065113067534e-14,5.23651168346405
1119,524288,90,Scipy,0.0,0.10175633430480957
1120,524288,100,Arnoldi,4.2348014697925635e-14,51.688513493537904
1121,524288,1,Lanzcos,1.6998269035558006e-09,0.03390679359436035
1122,524288,2,Scipy,0.0,0.10175633430480957
1123,524288,3,Arnoldi,4.2348014697925635e-14,0.08915882110595703
1124,524288,4,Lanzcos,6.95720305635202e-14,0.12378184795379639
1125,524288,5,Scipy,0.0,0.10175633430480957
1126,524288,6,Arnoldi,4.2348014697925635e-14,0.22779924869537355
1127,524288,7,Lanzcos,6.95720305635202e-14,0.2652985334396362
1128,524288,8,Scipy,0.0,0.10175633430480957
1129,524288,9,Arnoldi,4.2348014697925635e-14,0.4571910619735718
1130,524288,10,Lanzcos,6.95720305635202e-14,0.41410648822784424
1131,524288,20,Scipy,0.0,0.10175633430480957
1132,524288,30,Arnoldi,4.2348014697925635e-14,4.331227397918701
1133,524288,40,Lanzcos,6.95720305635202e-14,2.365983080863953
1134,524288,50,Scipy,0.0,0.10175633430480957
1135,524288,60,Arnoldi,4.2348014697925635e-14,18.024091148376463
1136,524288,70,Lanzcos,6.293065113067534e-14,4.50675368309021
1137,524288,80,Scipy,0.0,0.10175633430480957
1138,524288,90,Arnoldi,4.2348014697925635e-14,41.49610595703125
1139,524288,100,Lanzcos,6.95720305635202e-14,6.642748856544495
